Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Libya,LBY,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Liechtenstein,LIE,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Lithuania,LTU,"Compulsory education, duration (years)",SE.COM.DURS,11,11,11,11,11,..
Luxembourg,LUX,"Compulsory education, duration (years)",SE.COM.DURS,12,12,12,12,12,..
"Macao SAR, China",MAC,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
Madagascar,MDG,"Compulsory education, duration (years)",SE.COM.DURS,5,5,5,5,5,..
Malawi,MWI,"Compulsory education, duration (years)",SE.COM.DURS,8,8,8,8,8,..
Malaysia,MYS,"Compulsory education, duration (years)",SE.COM.DURS,6,6,6,6,6,..
Maldives,MDV,"Compulsory education, duration (years)",SE.COM.DURS,7,7,7,7,7,..
Mali,MLI,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Malta,MLT,"Compulsory education, duration (years)",SE.COM.DURS,11,11,11,11,11,..
Marshall Islands,MHL,"Compulsory education, duration (years)",SE.COM.DURS,13,13,13,13,13,..
Mauritania,MRT,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Mauritius,MUS,"Compulsory education, duration (years)",SE.COM.DURS,11,11,11,12,12,..
Mexico,MEX,"Compulsory education, duration (years)",SE.COM.DURS,14,14,14,14,14,..
"Micronesia, Fed. Sts.",FSM,"Compulsory education, duration (years)",SE.COM.DURS,8,8,8,8,8,..
Moldova,MDA,"Compulsory education, duration (years)",SE.COM.DURS,13,13,10,10,10,..
Monaco,MCO,"Compulsory education, duration (years)",SE.COM.DURS,11,11,11,11,11,..
Mongolia,MNG,"Compulsory education, duration (years)",SE.COM.DURS,12,12,12,12,12,..
Montenegro,MNE,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Morocco,MAR,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Mozambique,MOZ,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..
Myanmar,MMR,"Compulsory education, duration (years)",SE.COM.DURS,5,5,5,5,5,..
Namibia,NAM,"Compulsory education, duration (years)",SE.COM.DURS,7,7,7,7,7,..
Nauru,NRU,"Compulsory education, duration (years)",SE.COM.DURS,14,14,14,14,14,..
Nepal,NPL,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
